IATA,Name,Country,BaseCity,Active
1T,1Time Airline,South Africa,Cape Town,Y
Q5,40-Mile Air,United States,"WASHINGTON, D.C.",Y
AN,Ansett Australia,Australia,CANBERRA,Y
1B,Abacus International,Singapore,SINGAPORE,Y
ZI,Aigle Azur,France,PARIS,Y
AQ,Aloha Airlines,United States,"WASHINGTON, D.C.",Y
AA,American Airlines,United States,"WASHINGTON, D.C.",Y
OZ,Asiana Airlines,SOUTH KOREA,SEOUL,Y
4K,Askari Aviation,Pakistan,ISLAMABAD,Y
8U,Afriqiyah Airways,Libya,TRIPOLI,Y
G4,Allegiant Air,United States,"WASHINGTON, D.C.",Y
M3,ABSA - Aerolinhas Brasileiras,Brazil,BRASILIA,Y
8V,Astral Aviation,Kenya,NAIROBI,Y
ZY,Ada Air,Albania,TIRANA,Y
JP,Adria Airways,Slovenia,LJUBLJANA,Y
UX,Air Europa,Spain,MADRID,Y
EM,Aero Benin,Benin,PORTO-NOVO,Y
A3,Aegean Airlines,Greece,ATHENS,Y
PE,Air Europe,Italy,ROME,Y
KO,Alaska Central Express,United States,"WASHINGTON, D.C.",Y
5W,Astraeus,United Kingdom,LONDON,Y
VV,Aerosvit Airlines,Ukraine,KIEV,Y
I9,Air Italy,Italy,ROME,Y
QQ,Alliance Airlines,Australia,CANBERRA,Y
FG,Ariana Afghan Airlines,Afghanistan,KABUL,Y
SU,Aeroflot Russian Airlines,Russia,MOSCOW,Y
JA,Air Bosna,BOSNIA & HERZEGOVINA,SARAJEVO,Y
AF,Air France,France,PARIS,Y
SB,Air Caledonie International,France,PARIS,Y
2O,Air Salone,Sierra Leone,FREETOWN,Y
2Q,Air Cargo Carriers,United States,"WASHINGTON, D.C.",Y
SW,Air Namibia,Namibia,WINDHOEK,Y
5D,Aerolitoral,Mexico,MEXICO CITY,Y
7T,Air Glaciers,Switzerland,BERN,Y
PL,Aeroper,Peru,LIMA,Y
8A,Atlas Blue,Morocco,RABAT,Y
J2,Azerbaijan Airlines,Azerbaijan,BAKU,Y
U3,Avies,Estonia,TALLINN,Y
ED,Airblue,Pakistan,ISLAMABAD,Y
AB,Air Berlin,Germany,BERLIN,Y
AI,Air India Limited,India,NEW DELHI,Y
CC,Air Atlanta Icelandic,Iceland,REYKJAVIK,Y
TN,Air Tahiti Nui,France,PARIS,Y
IZ,Arkia Israel Airlines,Israel,JERUSALEM,Y
JM,Air Jamaica,Jamaica,KINGSTON,Y
AP,Air One,Italy,ROME,Y
S2,Air Sahara,India,NEW DELHI,Y
KM,Air Malta,Malta,VALLETTA,Y
NQ,Air Japan,Japan,TOKYO,Y
4A,Air Kiribati,Kiribati,SOUTH TARAWA,Y
HP,America West Airlines,United States,"WASHINGTON, D.C.",Y
ZW,Air Wisconsin,United States,"WASHINGTON, D.C.",Y
U9,Tatarstan Airlines,Russia,MOSCOW,Y
VD,Air Libert,France,PARIS,Y
QM,Air Malawi,Malawi,LILONGWE,Y
BM,Air Sicilia,Italy,ROME,Y
NX,Air Macau,Macao,Macau,Y
HM,Air Seychelles,Seychelles,VICTORIA,Y
AM,AeroMéxico,Mexico,MEXICO CITY,Y
NH,All Nippon Airways,Japan,TOKYO,Y
YW,Air Nostrum,Spain,MADRID,Y
PX,Air Niugini,Papua New Guinea,PORT MORESBY,Y
G9,Air Arabia,United Arab Emirates,ABU DHABI,Y
AC,Air Canada,Canada,OTTAWA,Y
BT,Air Baltic,Latvia,RIGA,Y
EL,Air Nippon,Japan,TOKYO,Y
TL,Airnorth,Australia,CANBERRA,Y
4N,Air North Charter - Canada,Canada,OTTAWA,Y
NZ,Air New Zealand,New Zealand,WELLINGTON,Y
XM,Alitalia Express,Italy,ROME,Y
GV,Aero Flight,Germany,BERLIN,Y
JW,Arrow Air,United States,"WASHINGTON, D.C.",Y
2B,Aerocondor,Portugal,LISBON,Y
4C,Aires,South Africa,Cape Town,Y
AR,Aerolineas Argentinas,Argentina,BUENOS AIRES,Y
AS,Alaska Airlines,United States,"WASHINGTON, D.C.",Y
4D,Air Sinai,Egypt,CAIRO,Y
EV,Atlantic Southeast Airlines,United States,"WASHINGTON, D.C.",Y
OB,Astrakhan Airlines,Russia,MOSCOW,Y
TC,Air Tanzania,Tanzania,DODOMA,Y
2J,Air Burkina,Burkina Faso,OUAGADOUGOU,Y
FO,Airlines Of Tasmania,Australia,CANBERRA,Y
PJ,Air Saint Pierre,France,PARIS,Y
OS,Austrian Airlines,Austria,VIENNA,Y
IQ,Augsburg Airways,Germany,BERLIN,Y
MO,Abu Dhabi Amiri Flight,United Arab Emirates,ABU DHABI,Y
5N,Aeroflot-Nord,Russia,MOSCOW,Y
GR,Aurigny Air Services,United Kingdom,LONDON,Y
AU,Austral Lineas Aereas,Argentina,BUENOS AIRES,Y
AV,Avianca - Aerovias Nacionales de Colombia,COLOMBIA,BOGOTÁ,Y
NF,Air Vanuatu,Vanuatu,PORT VILA,Y
B9,Air Bangladesh,Bangladesh,DHAKA,Y
DR,Air Mediterranee,France,PARIS,Y
7E,Aeroline GmbH,Germany,BERLIN,Y
6G,Air Wales,United Kingdom,LONDON,Y
TX,Air Caraïbes,France,PARIS,Y
IX,Air India Express,India,NEW DELHI,Y
XT,Air Exel,Netherlands,AMSTERDAM,Y
AK,AirAsia,Malaysia,KUALA LUMPUR,Y
3G,Atlant-Soyuz Airlines,Russia,MOSCOW,Y
AZ,Alitalia,Italy,ROME,Y
Z8,Amaszonas,Bolivia,SUCRE,Y
UM,Air Zimbabwe,Zimbabwe,HARARE,Y
R7,Aserca Airlines,Venezuela,CARACAS,Y
FV,Rossiya-Russian Airlines,Russia,MOSCOW,Y
MQ,American Eagle Airlines,United States,"WASHINGTON, D.C.",Y
VU,Air Ivoire,Ivory Coast,Yamoussoukro,Y
BP,Air Botswana,Botswana,GABORONE,Y
GS,Air Foyle,United Kingdom,LONDON,Y
VL,Air VIA,Bulgaria,SOFIA,Y
FK,Africa West,Togo,LOMÉ,Y
V8,ATRAN Cargo Airlines,Russian Federation,MOSCOW,Y
CA,Air China,China,BEIJING,Y
Q6,Aero Condor Peru,Peru,LIMA,Y
CV,Air Chathams,New Zealand,WELLINGTON,Y
CW,Air Marshall Islands,Marshall Islands,MAJURO,Y
ZA,Access Air,United States,"WASHINGTON, D.C.",Y
AH,Air Algerie,Algeria,ALGIERS,Y
KI,Adam Air,Indonesia,JAKARTA,Y
EN,Air Dolomiti,Italy,ROME,Y
D9,Aeroflot-Don,Russia,MOSCOW,Y
NM,Air Madrid,Spain,MADRID,Y
EI,Aer Lingus,Ireland,DUBLIN,Y
OF,Air Finland,Finland,HELSINKI,Y
