iata_code,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,municipality
AAE,medium_airport,Rabah Bitat Airport,36.822201,7.809174,16,AF,Algeria,Annaba
AAM,medium_airport,Malamala Airport,-24.8180999755859,31.5445995330811,1124,AF,South Africa,Malamala
ABJ,medium_airport,Port Bouet Airport,5.261390209198,-3.9262900352478,21,AF,Côte d'Ivoire,Abidjan
ABS,medium_airport,Abu Simbel Airport,22.3759994507,31.611700058,616,AF,Egypt,Abu Simbel
ABV,large_airport,Nnamdi Azikiwe International Airport,9.00679016113281,7.26316976547241,1123,AF,Nigeria,Abuja
ACC,large_airport,Kotoka International Airport,5.60518980026245,-0.166786000132561,205,AF,Ghana,Accra
ADD,large_airport,Addis Ababa Bole International Airport,8.97789001465,38.7993011475,7630,AF,Ethiopia,Addis Ababa
AEH,medium_airport,Abeche Airport,13.8470001220703,20.8442993164063,1788,AF,Chad,
AGA,medium_airport,Al Massira Airport,30.3250007629395,-9.41306972503662,250,AF,Morocco,Agadir
AHU,medium_airport,Cherif Al Idrissi Airport,35.1771011352539,-3.83951997756958,95,AF,Morocco,Al Hoceima
AJN,medium_airport,Ouani Airport,-12.1316995620728,44.4303016662598,62,AF,Comoros,Ouani
AJY,medium_airport,Mano Dayak International Airport,16.9659996032715,8.00010967254639,1657,AF,Niger,Agadez
AKF,medium_airport,Kufra Airport,24.1786994934082,23.3139991760254,1367,AF,Libya,Kufra
AKR,medium_airport,Akure Airport,7.24673986434937,5.30101013183594,1100,AF,Nigeria,Akure
ALG,large_airport,Houari Boumediene Airport,36.6910018920898,3.21540999412537,82,AF,Algeria,Algiers
ALY,medium_airport,El Nouzha Airport,31.1839008331299,29.9489002227783,-6,AF,Egypt,Alexandria
AMH,medium_airport,Arba Minch Airport,6.03939008712769,37.5904998779297,3901,AF,Ethiopia,
ANM,medium_airport,Antsirabato Airport,-14.999400138855,50.3202018737793,20,AF,Madagascar,
APL,medium_airport,Nampula Airport,-15.1056003570557,39.2817993164062,1444,AF,Mozambique,Nampula
ARK,medium_airport,Arusha Airport,-3.36778998374939,36.63330078125,4550,AF,Tanzania,Arusha
ASA,medium_airport,Assab International Airport,13.0718002319336,42.6450004577637,46,AF,Eritrea,Asab
ASM,medium_airport,Asmara International Airport,15.2918996810913,38.910701751709,7661,AF,Eritrea,Asmara
